Questionnaire,Organization Number,Organization Name,City,Country,CDP Region,C40 City,GCoM City,Access,Assessment attachment and/or direct link,Confirm attachment/link provided,Boundary of assessment relative to jurisdiction boundary,Year of publication or approval,Factors considered in assessment,Primary author(s) of assessment,Does the city have adaptation goal(s) and/or an adaptation plan?,Population,Population Year,City Location,Last update
Cities 2022,862814,"South-East Region of Ireland (Kilkenny, Carlow, Wexford, and Waterford Counties)",Waterford,Ireland,Europe,No,No,public,https://www.kilkennycoco.ie/eng/Services/Environment/Climate-Change/Climate-Change-Adaptation-Strategy-2019-2024/Climate-Change-Adaptation-Strategy.pdf,The assessment has been attached,"Smaller - covers only part of the jurisdiction, please explain exclusions: Southeast region is composed of 4 counties which produced the assessment individually",2019,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,456228,2022,POINT (-7.14535 52.2454),02/17/2023 03:20:42 AM
Cities 2022,848502,West Torrens City Council,,Australia,Oceania,No,Yes,public,https://www.adaptwest.com.au/sites/adaptwest/media/pdf/adapt-west-stage-1-final-report-by-skm-25-march-2013.pdf;  https://www.adaptwest.com.au/sites/adaptwest/media/banners/iva-workshop-summary-social-community.pdf;  https://www.adaptwest.com.au/sites/adaptwest/media/pdf/iva-workshop-summary-environment.pdf;   https://www.adaptwest.com.au/sites/adaptwest/media/pdf/iva-workshop-summary-economy-infrastructure.pdf;   https://www.adaptwest.com.au/sites/adaptwest/media/pdf/integrated-vulnerability-assessment-report.pdf;  https://www.adaptwest.com.au/sites/adaptwest/media/pdf/adaptwest-climatechange.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The assessment was undertaken in partnership with other councils in the AdaptWest consortium, including the Cities of Charles Sturt and Port Adelaide Enfield. However, the assessments considered features for our Council.",2016,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations,Consultant,Adaptation goal(s),61077,2021,,02/17/2023 03:20:42 AM
Cities 2022,50541,"City of Greensboro, NC",Greensboro,United States of America,United States of America,No,No,public,https://www.guilfordcountync.gov/home/showpublisheddocument/12036/637604798816670000,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers entirety of Guilford County, NC and 10 municipalities therein:  Gibsonville, Greensboro, High Point, Jamestown, Oak Ridge, Pleasant Garden, Sedalia, Stokesdale, Summerfield, and Whitsett",2021,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,"Dedicated team within jurisdiction; Other, please specify: Inter-jurisdictional collaboration",Adaptation goal(s),298263,2021,POINT (-79.792 36.0726),02/17/2023 03:20:42 AM
Cities 2022,18078,Swale Borough Council,,United Kingdom of Great Britain and Northern Ireland,Europe,No,No,public,https://www.kent.gov.uk/__data/assets/pdf_file/0015/111381/CCRIA-for-Kent-and-Medway-part-one-methodology-and-summary-findings.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: County Council level",2020,Assessment considers nature; Assessment considers water security; Assessment includes a high-emissions scenario,Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,135000,2019,,02/17/2023 03:20:42 AM
Cities 2022,54104,"City of Boulder, CO",Boulder,United States of America,United States of America,No,Yes,public,https://bouldercolorado.gov/media/2339/download?inline=,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2007,Assessment considers nature,Consultant; Dedicated team within jurisdiction; Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,108250,2021,POINT (-105.252 40.0274),02/17/2023 03:20:42 AM
Cities 2022,35884,"City of San Diego, CA",San Diego,United States of America,United States of America,No,Yes,public,https://www.sandiego.gov/sites/default/files/state-lands-sea-level-rise-vulnerability-assessment.pdf,The assessment has been attached,"Smaller - covers only part of the jurisdiction, please explain exclusions: Assessment completed to comply with legislative requirement, based on legislation, focused only on public trust lands",2019,Assessment considers nature; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario,Consultant; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,1415000,2021,POINT (-117.163 32.7175),02/17/2023 03:20:42 AM
Cities 2022,839668,Municipio de Iztapa,,Guatemala,Latin America,No,No,public,https://mega.nz/file/ONwWBYQC#iq4vTXCV3moxehf5i0QjZn8H89RVekeMqmmBOmMT0qQ,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2021,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Question not applicable,Adaptation goal(s) and adaptation plan,20726,2022,,02/17/2023 03:20:42 AM
Cities 2022,74575,"Dane County, WI",,United States of America,United States of America,No,No,public,https://em.countyofdane.com/documents/PDFs/mitigation%20plan/Entire-Plan-Document--without-Appendices-or-Attachments-.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2017,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,563951,2021,,02/17/2023 03:20:42 AM
Cities 2022,54386,Tainan City Government,Tainan,"Taiwan, China",East Asia,No,Yes,public,臺南市氣候變遷調適計畫-2015.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2015,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,1874917,2020,POINT (120.227 22.9999),02/17/2023 03:20:42 AM
Cities 2022,831620,Yaoundé 3,Yaoundé 3,Cameroon,Africa,No,Yes,public,PAAEDC Ydé 3.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2020,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,"Other, please specify: l'organisation OAI-DEMOS,  une équipe de la commune",Adaptation goal(s) and adaptation plan,403191,2017,POINT (11.31 3.52),02/17/2023 03:20:42 AM
Cities 2022,14088,Oslo Municipality,Oslo,Norway,Europe,Yes,Yes,public,https://www.klimaoslo.no/wp-content/uploads/sites/88/2021/03/Climate-Change-Vulnerability-Analysis-for-Oslo-short-version.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2020,Assessment considers nature; Assessment includes a high-emissions scenario,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,699027,2021,POINT (10.7522 59.9139),02/17/2023 03:20:42 AM
Cities 2022,31182,"City of San Francisco, CA",San Francisco,United States of America,United States of America,Yes,Yes,public,https://default.sfplanning.org/plans-and-programs/planning-for-the-city/sea-level-rise/SLRVCA_Report_Full_Report.pdf,The assessment can be accessed (unrestricted) on the link provided,"Smaller - covers only part of the jurisdiction, please explain exclusions: This assessment only focused on the coastal area that is defined as the SLR vulnerability zone and therefore did not include other areas of the city.",2020,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,873965,2020,POINT (-122.419 37.7749),02/17/2023 03:20:42 AM
Cities 2022,50560,"City of Oakland, CA",Oakland,United States of America,United States of America,No,Yes,public,Oakland Resilience Assessment.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2016,,Community group; Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,445849,2021,POINT (-122.271 37.8044),02/17/2023 03:20:42 AM
Cities 2022,58595,Municipalidad de Belén,Belén,Costa Rica,Latin America,No,Yes,public,https://munibelen-my.sharepoint.com/:b:/g/personal/ambiental_belen_go_cr/EbcXWwpI6hxJmbdql4OZ1eEB4AeYzCsjVZGVhfAlNZRPXA?e=RLAIAd,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2022,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,24000,2017,POINT (-84.1503 10.0035),02/17/2023 03:20:42 AM
